corporateNumber;city
3901517841;Bogotá, D.C. - Bogotá
3860024529;Bogotá-Bogota D.C.
3800123057;Pereira - Risaralda
3901162580;Bogotá-Bogota D.C.
3900278642;Cali -Valle
3900410524;Guasca - Cundinamarca
3800157025;Yumbo -Valle
3900659573;Guadalajara De Buga -Valle
3900555613;Cali -Valle
3900759329;Bogotá-Bogota D.C.
3900604495;Mosquera -Cundinamarca
3900164860;Villavicencio -Meta
3805002491;Bogotá-Bogota D.C.
3900393678;La Mesa -Cundinamarca
3830055137;Mosquera -Cundinamarca
3901261938;Fómeque - Cundinamarca
3901810508;Bogotá, D.C. - Bogotá
3800090735;Cali -Valle
3901178067;Cali - Valle Del Cauca
3900026312;Bogotá-Bogota D.C.
3900530135;Palermo - Huila
3816007113;Pereira - Risaralda
3900335765;Bogotá-Bogota D.C.
3901367806;Bogotá-Bogota D.C.
3805014563;Cali -Valle
3819006966;Pereira -Risaralda
3901628670;Funza - Cundinamarca
3900300843;Barranquilla - Atlántico
3900453604;Villavicencio -Meta
3900644251;Medellin -Antioquia
3900700927;Bogotá-Bogota D.C.
3830038561;Bogotá-Bogota D.C.
3900489160;Bogotá-Bogota D.C.
3901167189;Villavicencio -Meta
3900900403;Bogotá-Bogota D.C.
3901275954;Facatativá - Cundinamarca
3901226533;Bogotá-Bogota D.C.
3900500099;Manizales -Caldas
3900543902;Bogotá-Bogota D.C.
3900418024;Bogotá-Bogota D.C.
3900042695;Guadalajara De Buga -Valle
3900141706;Duitama - Boyacá
3900424944;Pereira -Risaralda
3901092043;Villavicencio - Meta
3900033701;Bogotá, D.C. - Bogotá
3813002152;Neiva -Huila
3821001749;Tuluá -Valle
3860506419;Bogotá-Bogota D.C.
3900983749;Cogua - Cundinamarca
3901043583;Villavicencio -Meta
3901146632;Soacha -Cundinamarca
3822006587;Villavicencio -Meta
3800094377;Funza -Cundinamarca
3900112573;Bogotá-Bogota D.C.
3890211325;Bogotá-Bogota D.C.
